arco_NO_falla; ventas_perdidas ;costo_ventas_perdidas
Girardot-Espinal/; $ 6.745.018,00 ;6,75E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.823.900,00 ;1,82E+12
Girardot-Espinal/; $ 1.737.763,00 ;1,74E+12
Girardot-Espinal/; $ 2.383.270,00 ;2,38E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 19.092.539,00 ;1,91E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 196.302,00 ;1,96E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.023.041,00 ;1,02E+12
Girardot-Espinal/; $ 1.658.534,00 ;1,66E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.764.497,00 ;1,76E+12
Girardot-Espinal/; $ 2.350.409,00 ;2,35E+12
Girardot-Espinal/; $ 4.261.715,00 ;4,26E+12
Girardot-Espinal/; $ 1.886.614,00 ;1,89E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 4.597.557,00 ;4,60E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 21.040.594,00 ;2,10E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 721.527,00 ;7,22E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 2.438.633,00 ;2,44E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.113.252,00 ;1,11E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.469.973,00 ;1,47E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 5.703.846,00 ;5,70E+12
Girardot-Espinal/; $ 18.972.177,00 ;1,90E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 3.625.314,00 ;3,63E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 771.229,00 ;7,71E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 860.158,00 ;8,60E+11
Girardot-Espinal/; $ 780.512,00 ;7,81E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 958.144,00 ;9,58E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 21.224.582,00 ;2,12E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 2.373.874,00 ;2,37E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 21.669.326,00 ;2,17E+13
Girardot-Espinal/; $ 6.641.653,00 ;6,64E+12
Girardot-Espinal/; $ 1.928.301,00 ;1,93E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 6.093.088,00 ;6,09E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 5.058.890,00 ;5,06E+12
Girardot-Espinal/; $ 21.738.788,00 ;2,17E+13
Girardot-Espinal/; $ 665.488,00 ;6,65E+11
Girardot-Espinal/; $ 6.514.090,00 ;6,51E+12
Girardot-Espinal/; $ 3.118.884,00 ;3,12E+12
Girardot-Espinal/; $ 21.617.964,00 ;2,16E+13
Girardot-Espinal/; $ 5.585.470,00 ;5,59E+12
Girardot-Espinal/; $ 663.237,00 ;6,63E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.286.192,00 ;1,29E+12
Girardot-Espinal/; $ 699.924,00 ;7,00E+11
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 5.505.522,00 ;5,51E+12
Girardot-Espinal/; $ 5.496.468,00 ;5,50E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.025.723,00 ;1,03E+12
Girardot-Espinal/; $ 4.730.980,00 ;4,73E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.146.443,00 ;1,15E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
Girardot-Espinal/; $ 1.421.767,00 ;1,42E+12
Girardot-Espinal/; $ 24.547.532,00 ;2,45E+13
