,Name,Latitude,Longitude,Group
1,Agua_Clara_Casa,,,1
1,Villavicencio,,,1
2,Agua_Clara_Cesar,,,2
2,San_Alberto,,,2
3,Agua_Clara_Cesar,,,3
3,Ocana,,,3
4,Aguazul,,,4
4,Agua_Clara_Casa,,,4
5,Agustin_C,,,5
5,San_Roque,,,5
6,Agustin_C,,,6
6,Cuatrovientos,,,6
7,Altamira,,,7
7,Mocoa,,,7
8,Altamira,,,8
8,Florencia,,,8
9,Armenia,,,9
9,La_Paila,,,9
10,Barbosa_Ant,,,10
10,Medellin,,,10
11,Barbosa_Ant,,,11
11,Puerto_Araujo,,,11
12,Barbosa_Boy,,,12
12,Puerto_Araujo,,,12
13,Barrancabermeja,,,13
13,La_Fortuna,,,13
14,Barranquilla,,,14
14,Cartagena,,,14
15,Barranquilla,,,15
15,Carreto,,,15
16,Belen_Boy,,,16
16,Hato_Corozal,,,16
17,Belen_Boy,,,17
17,Duitama,,,17
18,Bogota,,,18
18,Villavicencio,,,18
19,Bogota,,,19
19,Fusa,,,19
20,Bogota,,,20
20,Madrid,,,20
21,Bolombolo,,,21
21,Quibdo,,,21
22,Bosconia,,,22
22,Cuatrovientos,,,22
23,Bosconia,,,23
23,La_Gloria,,,23
24,Bucaramanga,,,24
24,La_Fortuna,,,24
25,Bucaramanga,,,25
25,Malaga,,,25
26,Bucaramanga,,,26
26,San_Gil,,,26
27,Buenavista,,,27
27,S_Juan_Cesar,,,27
28,Buenavista,,,28
28,Riohacha,,,28
29,Buga,,,29
29,Palmira,,,29
30,Buga,,,30
30,Cali,,,30
31,Buga,,,31
31,Loboguerrero,,,31
32,Cali,,,32
32,Jamundi,,,32
33,Caloto,,,33
33,Popayan,,,33
34,Carmen_de_Bolivar,,,34
34,Puerta_Hierro,,,34
35,Carreto,,,35
35,Carmen_de_Bolivar,,,35
36,Cartagena,,,36
36,Carreto,,,36
37,Cartagena,,,37
37,Lorica,,,37
38,Cartago,,,38
38,Armenia,,,38
39,Cartago,,,39
39,Buga,,,39
40,Cartago,,,40
40,Zarzal,,,40
41,Caucasia,,,41
41,Barbosa_Ant,,,41
42,Chiquinquira,,,42
42,Zipaquira,,,42
43,Cuatrovientos,,,43
43,San_Roque,,,43
44,Cuatrovientos,,,44
44,El_Banco,,,44
45,Cucuta,,,45
45,Pamplona,,,45
46,Duitama,,,46
46,Tunja,,,46
47,Duitama,,,47
47,Aguazul,,,47
48,El_Banco,,,48
48,El_Burro,,,48
49,El_Burro,,,49
49,Agua_Clara_Cesar,,,49
50,Espinal,,,50
50,Neiva,,,50
51,Fusa,,,51
51,Ricaurte,,,51
52,Girardot,,,52
52,Espinal,,,52
53,Hato_Corozal,,,53
53,Yopal,,,53
