,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
186,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
934,Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574
169,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
170,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
171,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
172,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
173,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
174,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
175,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
176,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
177,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
933,Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574
178,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
180,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
181,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
182,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
183,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
184,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
185,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
187,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
188,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
189,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
190,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
179,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
191,Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092
932,Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574
