,code_node,name_node,Supplier,Plant,CD,Customer,latitude,longitude
0,0,Agua_Clara_Casa,0,0,0,0,4.748982,-72.997709
1,0,Agua_Clara_Casa,0,0,0,0,4.748982,-72.997709
2,0,Agua_Clara_Casa,0,0,0,0,4.748982,-72.997709
3,1,Agua_Clara_Cesar,0,0,0,0,8.248187,-73.596725
4,1,Agua_Clara_Cesar,0,0,0,0,8.248187,-73.596725
5,1,Agua_Clara_Cesar,0,0,0,0,8.248187,-73.596725
6,2,Aguazul,0,0,0,0,5.170847,-72.550819
7,2,Aguazul,0,0,0,0,5.170847,-72.550819
8,2,Aguazul,0,0,0,0,5.170847,-72.550819
9,3,Agustin_C,0,0,0,0,10.034716,-73.237105
10,3,Agustin_C,0,0,0,0,10.034716,-73.237105
11,3,Agustin_C,0,0,0,0,10.034716,-73.237105
12,4,Altamira,0,0,0,0,2.063112,-75.787545
13,4,Altamira,0,0,0,0,2.063112,-75.787545
14,4,Altamira,0,0,0,0,2.063112,-75.787545
15,5,Arauca,0,0,0,1,7.076172,-70.710457
16,6,Armenia,0,0,1,1,4.535,-75.675689
17,6,Armenia,0,0,1,1,4.535,-75.675689
18,6,Armenia,0,0,1,1,4.535,-75.675689
19,6,Armenia,0,0,1,1,4.535,-75.675689
20,7,Barbosa_Ant,0,0,0,0,6.438791,-75.334099
21,7,Barbosa_Ant,0,0,0,0,6.438791,-75.334099
22,7,Barbosa_Ant,0,0,0,0,6.438791,-75.334099
23,8,Barbosa_Boy,0,0,1,0,5.934363,-73.615679
24,8,Barbosa_Boy,0,0,1,0,5.934363,-73.615679
25,8,Barbosa_Boy,0,0,1,0,5.934363,-73.615679
26,9,Barrancabermeja,0,1,1,1,7.061708,-73.851932
27,10,Barranquilla,0,1,1,1,11.004107,-74.806981
28,10,Barranquilla,0,1,1,1,11.004107,-74.806981
29,10,Barranquilla,0,1,1,1,11.004107,-74.806981
30,11,Barranquilla,0,1,1,0,11.004107,-74.806981
31,11,Barranquilla,0,1,1,0,11.004107,-74.806981
32,11,Barranquilla,0,1,1,0,11.004107,-74.806981
33,12,Belen_Boy,0,0,0,0,5.9894,-72.910689
34,12,Belen_Boy,0,0,0,0,5.9894,-72.910689
35,12,Belen_Boy,0,0,0,0,5.9894,-72.910689
36,13,Bogota,1,1,1,1,4.710989,-74.072092
37,13,Bogota,1,1,1,1,4.710989,-74.072092
38,13,Bogota,1,1,1,1,4.710989,-74.072092
39,13,Bogota,1,1,1,1,4.710989,-74.072092
40,13,Bogota,1,1,1,1,4.710989,-74.072092
41,13,Bogota,1,1,1,1,4.710989,-74.072092
42,14,Bogota,1,1,1,0,4.710989,-74.072092
43,14,Bogota,1,1,1,0,4.710989,-74.072092
44,14,Bogota,1,1,1,0,4.710989,-74.072092
45,14,Bogota,1,1,1,0,4.710989,-74.072092
46,14,Bogota,1,1,1,0,4.710989,-74.072092
47,14,Bogota,1,1,1,0,4.710989,-74.072092
48,15,Bogota,0,1,1,0,4.710989,-74.072092
49,15,Bogota,0,1,1,0,4.710989,-74.072092
50,15,Bogota,0,1,1,0,4.710989,-74.072092
51,15,Bogota,0,1,1,0,4.710989,-74.072092
52,15,Bogota,0,1,1,0,4.710989,-74.072092
53,15,Bogota,0,1,1,0,4.710989,-74.072092
54,16,Bolombolo,0,0,0,0,6.00008,-75.81665
55,16,Bolombolo,0,0,0,0,6.00008,-75.81665
56,16,Bolombolo,0,0,0,0,6.00008,-75.81665
57,17,Bosconia,0,0,1,1,9.970362,-73.890531
58,17,Bosconia,0,0,1,1,9.970362,-73.890531
59,17,Bosconia,0,0,1,1,9.970362,-73.890531
60,17,Bosconia,0,0,1,1,9.970362,-73.890531
61,18,Bucaramanga,0,1,1,1,7.119349,-73.122742
62,18,Bucaramanga,0,1,1,1,7.119349,-73.122742
63,18,Bucaramanga,0,1,1,1,7.119349,-73.122742
64,18,Bucaramanga,0,1,1,1,7.119349,-73.122742
65,18,Bucaramanga,0,1,1,1,7.119349,-73.122742
66,19,Buenaventura,0,0,1,1,3.883047,-77.019721
67,20,Buenavista,0,0,0,0,10.893997,-72.887421
68,20,Buenavista,0,0,0,0,10.893997,-72.887421
69,20,Buenavista,0,0,0,0,10.893997,-72.887421
70,21,Buga,0,0,1,1,3.900508,-76.302189
71,21,Buga,0,0,1,1,3.900508,-76.302189
72,21,Buga,0,0,1,1,3.900508,-76.302189
73,21,Buga,0,0,1,1,3.900508,-76.302189
74,21,Buga,0,0,1,1,3.900508,-76.302189
75,22,Cali,1,1,1,1,3.451647,-76.531985
76,22,Cali,1,1,1,1,3.451647,-76.531985
77,22,Cali,1,1,1,1,3.451647,-76.531985
78,22,Cali,1,1,1,1,3.451647,-76.531985
79,23,Caloto,1,1,0,1,3.033544,-76.408081
80,23,Caloto,1,1,0,1,3.033544,-76.408081
81,23,Caloto,1,1,0,1,3.033544,-76.408081
82,24,Carmen_de_Bolivar,0,0,0,0,9.709395,-75.110779
83,24,Carmen_de_Bolivar,0,0,0,0,9.709395,-75.110779
84,24,Carmen_de_Bolivar,0,0,0,0,9.709395,-75.110779
85,25,Carreto,0,0,0,0,10.438211,-74.911974
86,25,Carreto,0,0,0,0,10.438211,-74.911974
87,25,Carreto,0,0,0,0,10.438211,-74.911974
88,26,Cartagena,0,1,1,1,10.391049,-75.479426
89,26,Cartagena,0,1,1,1,10.391049,-75.479426
90,26,Cartagena,0,1,1,1,10.391049,-75.479426
91,27,Cartago,0,0,0,1,4.747221,-75.911629
92,27,Cartago,0,0,0,1,4.747221,-75.911629
93,27,Cartago,0,0,0,1,4.747221,-75.911629
94,27,Cartago,0,0,0,1,4.747221,-75.911629
95,27,Cartago,0,0,0,1,4.747221,-75.911629
96,28,Caucasia,0,0,1,1,7.979698,-75.198563
97,28,Caucasia,0,0,1,1,7.979698,-75.198563
98,29,Chiquinquira,0,0,1,1,5.614775,-73.819571
99,29,Chiquinquira,0,0,1,1,5.614775,-73.819571
100,30,Cuatrovientos,0,0,0,0,9.739005,-73.709335
101,30,Cuatrovientos,0,0,0,0,9.739005,-73.709335
102,30,Cuatrovientos,0,0,0,0,9.739005,-73.709335
103,30,Cuatrovientos,0,0,0,0,9.739005,-73.709335
104,31,Cucuta,0,1,1,1,7.889097,-72.49669
105,31,Cucuta,0,1,1,1,7.889097,-72.49669
106,32,Duitama,0,1,1,1,5.826895,-73.032927
107,32,Duitama,0,1,1,1,5.826895,-73.032927
108,32,Duitama,0,1,1,1,5.826895,-73.032927
109,33,El_Banco,0,0,0,0,9.003507,-73.973864
110,33,El_Banco,0,0,0,0,9.003507,-73.973864
111,33,El_Banco,0,0,0,0,9.003507,-73.973864
112,34,El_Burro,0,0,0,0,8.875795,-73.66139
113,34,El_Burro,0,0,0,0,8.875795,-73.66139
114,34,El_Burro,0,0,0,0,8.875795,-73.66139
115,35,Espinal,0,0,0,0,4.149819,-74.884341
116,35,Espinal,0,0,0,0,4.149819,-74.884341
117,35,Espinal,0,0,0,0,4.149819,-74.884341
118,36,Florencia,0,0,1,1,1.615386,-75.604236
119,36,Florencia,0,0,1,1,1.615386,-75.604236
120,37,Fusa,0,0,1,1,4.345152,-74.361823
121,37,Fusa,0,0,1,1,4.345152,-74.361823
122,38,Girardot,0,0,0,1,4.304596,-74.803141
123,38,Girardot,0,0,0,1,4.304596,-74.803141
124,38,Girardot,0,0,0,1,4.304596,-74.803141
125,39,Granada,0,0,1,1,3.544831,-73.705281
126,40,Hato_Corozal,0,0,0,0,6.129631,-71.773682
127,40,Hato_Corozal,0,0,0,0,6.129631,-71.773682
128,40,Hato_Corozal,0,0,0,0,6.129631,-71.773682
129,41,Honda,0,0,0,0,5.205118,-74.737081
130,41,Honda,0,0,0,0,5.205118,-74.737081
131,41,Honda,0,0,0,0,5.205118,-74.737081
132,42,Ibague,0,1,1,1,4.444676,-75.242438
133,42,Ibague,0,1,1,1,4.444676,-75.242438
134,42,Ibague,0,1,1,1,4.444676,-75.242438
135,43,Ibague,0,0,1,0,4.444676,-75.242438
136,43,Ibague,0,0,1,0,4.444676,-75.242438
137,43,Ibague,0,0,1,0,4.444676,-75.242438
138,44,Itagui,0,0,1,1,6.167568,-75.614671
139,44,Itagui,0,0,1,1,6.167568,-75.614671
140,45,Jamundi,0,0,1,1,3.262084,-76.541073
141,45,Jamundi,0,0,1,1,3.262084,-76.541073
142,46,La_Dorada,0,0,1,1,5.472709,-74.667984
143,46,La_Dorada,0,0,1,1,5.472709,-74.667984
144,46,La_Dorada,0,0,1,1,5.472709,-74.667984
145,47,La_Felisa,0,0,0,0,5.45025,-75.649796
146,47,La_Felisa,0,0,0,0,5.45025,-75.649796
147,47,La_Felisa,0,0,0,0,5.45025,-75.649796
148,48,La_Fortuna,0,0,0,0,7.107706,-73.624878
149,48,La_Fortuna,0,0,0,0,7.107706,-73.624878
150,48,La_Fortuna,0,0,0,0,7.107706,-73.624878
151,48,La_Fortuna,0,0,0,0,7.107706,-73.624878
152,49,La_Gloria,0,0,0,0,9.792971,-74.328003
153,49,La_Gloria,0,0,0,0,9.792971,-74.328003
154,49,La_Gloria,0,0,0,0,9.792971,-74.328003
155,50,La_Paila,0,0,0,0,4.320789,-76.072075
156,50,La_Paila,0,0,0,0,4.320789,-76.072075
157,50,La_Paila,0,0,0,0,4.320789,-76.072075
158,51,La_Paz,0,0,0,0,10.382467,-73.168945
159,51,La_Paz,0,0,0,0,10.382467,-73.168945
160,51,La_Paz,0,0,0,0,10.382467,-73.168945
161,52,Loboguerrero,0,0,0,0,3.746412,-76.663971
162,52,Loboguerrero,0,0,0,0,3.746412,-76.663971
163,52,Loboguerrero,0,0,0,0,3.746412,-76.663971
164,53,Lorica,0,0,0,1,9.23764,-75.813625
165,53,Lorica,0,0,0,1,9.23764,-75.813625
166,53,Lorica,0,0,0,1,9.23764,-75.813625
167,54,Madrid,1,0,1,1,4.733779,-74.262757
168,54,Madrid,1,0,1,1,4.733779,-74.262757
169,54,Madrid,1,0,1,1,4.733779,-74.262757
170,55,Maicao,0,0,1,1,11.378934,-72.248517
171,56,Malaga,0,0,0,0,6.703858,-72.729891
172,56,Malaga,0,0,0,0,6.703858,-72.729891
173,56,Malaga,0,0,0,0,6.703858,-72.729891
174,57,Manizales,0,0,1,1,5.070275,-75.513817
175,57,Manizales,0,0,1,1,5.070275,-75.513817
176,57,Manizales,0,0,1,1,5.070275,-75.513817
177,58,Mariquita,0,0,0,0,5.199505,-74.886835
178,58,Mariquita,0,0,0,0,5.199505,-74.886835
